iter	Logloss
0	0.6793154514
1	0.6654367571
2	0.6530581513
3	0.6405637977
4	0.6289560312
5	0.6177170481
6	0.6066187663
7	0.5963536343
8	0.5854071449
9	0.5752861831
10	0.5652450075
11	0.5547351007
12	0.5450895436
13	0.5357820358
14	0.5268535613
15	0.5178392476
16	0.5092162477
17	0.5014356414
18	0.4932630898
19	0.4854075381
20	0.4777209055
21	0.4701156593
22	0.4620411511
23	0.4537789281
24	0.4472065674
25	0.4408127092
26	0.4341513443
27	0.4275927637
28	0.4216032548
29	0.415315929
30	0.4095084723
31	0.4024333944
32	0.3969920545
33	0.3917285267
34	0.3858685309
35	0.3804007739
36	0.3749926676
37	0.3702156204
38	0.3649228091
39	0.3595233812
40	0.3550329409
41	0.3501774551
42	0.3460622585
43	0.3413697782
44	0.3370622147
45	0.3331638101
46	0.3290487534
47	0.3249288294
48	0.3208555998
49	0.3168991887
50	0.3136661339
51	0.3103527583
52	0.3066009815
53	0.3030602882
54	0.2993971205
55	0.2960044673
56	0.2926684417
57	0.2893539818
58	0.2862603766
59	0.283130438
60	0.279999718
61	0.2771568261
62	0.2744690448
63	0.2719601276
64	0.2691712113
65	0.2663600481
66	0.2637586318
67	0.2611924792
68	0.2588198921
69	0.2562442831
70	0.2539281371
71	0.2515715873
72	0.2490601081
73	0.2464273282
74	0.2440029611
75	0.2418510197
76	0.2397776229
77	0.2378156968
78	0.2357031147
79	0.2335766323
80	0.2317450705
81	0.229730923
82	0.2280297226
83	0.2260988552
84	0.2241877189
85	0.222444046
86	0.2205497442
87	0.2183784823
88	0.2165956007
89	0.2143679358
90	0.212600185
91	0.2109615657
92	0.2091133942
93	0.2072094685
94	0.2056199758
95	0.2038855922
96	0.2023659676
97	0.200752376
98	0.1993238771
99	0.1977007594
100	0.1963508695
101	0.1948226053
102	0.1933378254
103	0.1920807203
104	0.1907117021
105	0.1892033095
106	0.1878080446
107	0.1864296575
108	0.1849895107
109	0.1837385172
110	0.1826085787
111	0.1812927565
112	0.1799743824
113	0.178736712
114	0.1774368573
115	0.1761105323
116	0.1751278592
117	0.1739462827
118	0.1729121682
119	0.1717314741
120	0.1707101519
121	0.1696466413
122	0.1685373998
123	0.1675568545
124	0.1666595997
125	0.1655993428
126	0.1645669516
127	0.1637548962
128	0.1626896258
129	0.1617577502
130	0.1608310977
131	0.1598464436
132	0.1588815712
133	0.1580142107
134	0.1572506444
135	0.1562196095
136	0.1553078534
