iter	Passed	Remaining
402	11994	17768
403	12023	17737
404	12051	17705
405	12081	17676
406	12113	17649
407	12143	17619
408	12172	17588
409	12201	17558
410	12233	17531
411	12262	17500
412	12291	17470
413	12319	17437
414	12347	17405
415	12377	17376
416	12404	17343
417	12434	17313
418	12463	17282
419	12494	17254
420	12524	17225
421	12554	17194
422	12585	17168
423	12616	17139
424	12645	17108
425	12672	17075
426	12700	17043
427	12730	17013
428	12759	16982
429	12793	16959
430	12830	16938
431	12861	16910
432	12889	16878
433	12918	16847
434	12946	16815
435	12974	16783
436	13003	16752
437	13031	16721
438	13060	16689
439	13088	16658
440	13116	16625
441	13144	16594
442	13173	16563
443	13203	16534
444	13232	16503
445	13260	16472
446	13288	16439
447	13316	16407
448	13344	16376
449	13372	16344
450	13403	16316
451	13433	16286
452	13460	16253
453	13488	16221
454	13519	16193
455	13547	16162
456	13576	16131
457	13604	16099
458	13630	16066
459	13660	16036
460	13688	16004
461	13716	15972
462	13746	15943
463	13774	15911
464	13808	15887
465	13840	15859
466	13869	15829
467	13900	15801
468	13929	15770
469	13957	15739
470	13986	15708
471	14013	15676
472	14043	15646
473	14071	15614
474	14101	15585
475	14131	15556
476	14158	15523
477	14185	15491
478	14213	15460
479	14241	15427
480	14269	15396
481	14300	15368
482	14328	15337
483	14356	15305
484	14385	15275
485	14413	15243
486	14441	15212
487	14469	15180
488	14496	15149
489	14523	15116
490	14551	15084
491	14581	15056
492	14609	15024
493	14638	14993
494	14665	14962
495	14694	14931
496	14722	14900
497	14750	14869
498	14780	14839
499	14813	14813
500	14845	14786
501	14875	14757
502	14904	14727
503	14933	14696
504	14962	14665
505	14991	14635
506	15021	14606
507	15050	14576
508	15078	14545
509	15110	14518
510	15140	14488
511	15169	14458
512	15198	14428
513	15226	14397
514	15254	14366
515	15282	14334
516	15310	14303
517	15339	14273
518	15368	14243
519	15396	14212
520	15425	14182
521	15454	14151
522	15482	14120
523	15510	14089
524	15539	14059
525	15568	14029
526	15597	13999
527	15627	13970
528	15655	13938
529	15683	13907
530	15713	13878
531	15742	13848
532	15773	13820
533	15805	13792
534	15838	13766
535	15868	13737
536	15897	13706
537	15925	13676
538	15952	13644
539	15981	13613
540	16009	13582
541	16039	13553
542	16067	13523
543	16096	13492
544	16124	13461
545	16152	13430
546	16180	13400
547	16208	13368
548	16235	13337
549	16263	13306
550	16291	13275
551	16320	13245
552	16347	13214
553	16375	13183
554	16403	13152
555	16431	13121
556	16459	13090
557	16490	13062
558	16520	13033
559	16550	13004
560	16579	12974
561	16608	12943
562	16636	12913
563	16664	12882
564	16693	12852
565	16722	12822
566	16752	12793
567	16785	12766
568	16819	12740
569	16846	12709
570	16874	12678
571	16904	12649
572	16933	12618
573	16962	12588
574	16991	12559
575	17019	12528
576	17046	12496
577	17074	12466
578	17105	12437
579	17134	12407
580	17161	12376
581	17191	12347
582	17219	12316
583	17248	12286
584	17277	12257
585	17305	12226
586	17334	12196
587	17364	12166
588	17394	12137
589	17423	12107
590	17455	12080
591	17484	12050
592	17514	12020
593	17543	11990
594	17570	11959
595	17599	11929
596	17628	11899
597	17654	11868
598	17684	11838
599	17713	11809
600	17742	11778
601	17773	11750
602	17805	11722
603	17837	11694
604	17868	11666
605	17898	11637
606	17928	11607
607	17958	11578
608	17989	11549
609	18019	11520
610	18046	11489
611	18074	11459
612	18102	11428
613	18132	11399
614	18160	11368
615	18188	11338
616	18217	11308
617	18245	11277
618	18273	11247
619	18301	11216
620	18329	11186
621	18356	11155
622	18385	11125
623	18414	11095
624	18441	11064
625	18468	11034
626	18495	11002
627	18523	10972
628	18551	10942
629	18579	10911
630	18609	10882
631	18637	10852
632	18668	10823
633	18700	10795
634	18728	10765
635	18761	10737
636	18796	10711
637	18825	10681
638	18855	10652
639	18885	10622
640	18914	10593
641	18942	10563
642	18972	10533
643	19000	10503
644	19029	10473
645	19059	10444
646	19088	10414
647	19118	10385
648	19146	10355
649	19175	10325
650	19203	10294
651	19232	10265
652	19262	10235
653	19289	10205
654	19316	10174
655	19347	10145
656	19375	10115
657	19402	10084
658	19431	10054
659	19459	10024
660	19489	9995
661	19518	9965
662	19546	9935
663	19573	9904
664	19601	9874
665	19631	9845
666	19660	9815
667	19690	9786
668	19719	9756
669	19750	9728
670	19783	9700
671	19813	9670
672	19842	9641
673	19871	9611
674	19901	9582
675	19932	9553
676	19963	9524
677	19993	9495
678	20021	9465
679	20049	9434
680	20078	9405
681	20106	9375
682	20134	9344
683	20162	9315
684	20190	9284
685	20218	9254
686	20248	9225
687	20278	9195
688	20306	9166
689	20334	9135
690	20363	9106
691	20394	9077
692	20421	9046
693	20450	9016
694	20479	8987
695	20507	8957
696	20535	8927
697	20564	8897
698	20593	8867
699	20620	8837
700	20648	8807
701	20676	8777
702	20703	8746
703	20737	8719
704	20770	8691
705	20801	8662
706	20831	8633
707	20859	8603
708	20887	8573
709	20915	8542
710	20946	8513
711	20974	8483
712	21002	8453
713	21031	8424
714	21059	8394
715	21088	8364
716	21116	8334
717	21145	8305
718	21173	8275
719	21200	8244
720	21227	8214
721	21253	8183
722	21281	8153
723	21310	8124
724	21339	8094
725	21368	8064
726	21397	8035
727	21424	8004
728	21453	7975
729	21483	7945
730	21512	7916
731	21541	7886
732	21570	7857
733	21598	7827
734	21627	7797
735	21656	7768
736	21688	7739
737	21718	7710
738	21749	7681
739	21783	7653
740	21814	7624
741	21843	7595
742	21871	7565
743	21899	7535
744	21928	7505
745	21957	7476
746	21987	7446
747	22017	7417
748	22045	7387
749	22072	7357
750	22101	7327
751	22129	7297
752	22157	7268
753	22186	7238
754	22212	7207
755	22243	7179
756	22273	7149
757	22301	7119
758	22328	7089
759	22358	7060
760	22389	7031
761	22417	7001
762	22447	6972
763	22476	6942
764	22504	6913
765	22533	6883
766	22561	6853
767	22589	6823
768	22619	6794
769	22649	6765
770	22678	6736
771	22706	6705
772	22738	6677
773	22770	6648
774	22803	6620
775	22832	6590
776	22859	6560
777	22887	6530
778	22917	6501
779	22945	6471
780	22973	6442
781	23001	6412
782	23032	6383
783	23059	6353
784	23087	6323
785	23115	6293
786	23143	6263
787	23171	6234
788	23201	6204
789	23230	6175
790	23261	6146
791	23288	6116
792	23318	6087
793	23346	6057
794	23373	6027
795	23404	5998
796	23432	5968
797	23461	5938
798	23491	5909
799	23520	5880
800	23551	5851
801	23580	5821
802	23608	5791
803	23637	5762
804	23665	5732
805	23692	5702
806	23724	5673
807	23758	5645
808	23789	5616
809	23820	5587
810	23850	5558
811	23879	5528
812	23911	5499
813	23939	5470
814	23970	5441
815	23999	5411
816	24030	5382
817	24060	5353
818	24088	5323
819	24118	5294
820	24146	5264
821	24175	5235
822	24206	5206
823	24237	5176
824	24265	5147
825	24295	5117
826	24323	5088
827	24352	5058
828	24382	5029
829	24411	5000
830	24443	4971
831	24470	4941
832	24497	4911
833	24526	4881
834	24554	4852
835	24582	4822
836	24615	4793
837	24645	4764
838	24678	4735
839	24707	4706
840	24742	4677
841	24782	4650
842	24812	4621
843	24842	4591
844	24871	4562
845	24900	4532
846	24928	4502
847	24958	4473
848	24989	4444
849	25018	4414
850	25050	4386
851	25080	4356
852	25111	4327
853	25139	4297
854	25167	4268
855	25196	4238
856	25226	4209
857	25254	4179
858	25285	4150
859	25316	4121
860	25344	4091
861	25372	4061
862	25403	4032
863	25431	4003
864	25461	3973
865	25490	3944
866	25521	3915
867	25549	3885
868	25577	3855
869	25605	3826
870	25635	3796
871	25663	3767
872	25691	3737
873	25724	3708
874	25760	3680
875	25790	3650
876	25822	3621
877	25851	3592
878	25879	3562
879	25908	3532
880	25936	3503
881	25964	3473
882	25995	3444
883	26023	3414
884	26052	3385
885	26080	3355
886	26110	3326
887	26136	3296
888	26165	3266
889	26192	3237
890	26220	3207
891	26248	3178
892	26280	3148
893	26311	3119
894	26342	3090
895	26372	3061
896	26401	3031
897	26429	3001
898	26458	2972
899	26490	2943
900	26517	2913
901	26549	2884
902	26577	2854
903	26605	2825
904	26635	2795
905	26664	2766
906	26692	2736
907	26726	2707
908	26761	2679
909	26793	2649
910	26823	2620
911	26852	2591
912	26881	2561
913	26911	2532
914	26939	2502
915	26967	2473
916	26995	2443
917	27029	2414
918	27057	2384
919	27086	2355
920	27115	2325
921	27145	2296
922	27174	2266
923	27203	2237
924	27233	2208
925	27262	2178
926	27293	2149
927	27322	2119
928	27351	2090
929	27378	2060
930	27406	2031
931	27435	2001
932	27466	1972
933	27494	1942
934	27523	1913
935	27551	1883
936	27581	1854
937	27615	1825
938	27645	1795
939	27673	1766
940	27704	1737
941	27737	1707
942	27769	1678
943	27798	1649
944	27827	1619
