iter	Passed	Remaining
402	11861	17571
403	11892	17544
404	11920	17512
405	11950	17483
406	11978	17453
407	12009	17425
408	12039	17396
409	12067	17365
410	12095	17334
411	12123	17302
412	12150	17269
413	12178	17238
414	12207	17208
415	12236	17177
416	12264	17146
417	12293	17117
418	12320	17083
419	12348	17052
420	12376	17022
421	12405	16991
422	12435	16963
423	12464	16933
424	12492	16902
425	12519	16868
426	12550	16841
427	12583	16817
428	12612	16787
429	12641	16757
430	12670	16726
431	12700	16698
432	12728	16667
433	12757	16637
434	12785	16606
435	12812	16574
436	12843	16546
437	12874	16518
438	12901	16487
439	12930	16456
440	12960	16427
441	12988	16397
442	13016	16365
443	13044	16334
444	13071	16302
445	13099	16272
446	13129	16243
447	13157	16212
448	13187	16183
449	13215	16152
450	13243	16120
451	13272	16090
452	13299	16059
453	13327	16028
454	13355	15997
455	13383	15966
456	13412	15937
457	13442	15908
458	13472	15879
459	13499	15846
460	13529	15818
461	13562	15793
462	13593	15765
463	13622	15736
464	13651	15706
465	13682	15679
466	13711	15649
467	13740	15619
468	13768	15588
469	13795	15556
470	13824	15527
471	13854	15498
472	13885	15470
473	13913	15439
474	13943	15411
475	13975	15384
476	14001	15352
477	14029	15320
478	14057	15289
479	14086	15260
480	14116	15231
481	14144	15201
482	14174	15171
483	14202	15141
484	14229	15109
485	14258	15080
486	14289	15052
487	14317	15021
488	14345	14991
489	14374	14961
490	14400	14928
491	14431	14900
492	14458	14868
493	14486	14838
494	14514	14807
495	14551	14785
496	14583	14759
497	14612	14729
498	14641	14699
499	14668	14668
500	14697	14638
501	14727	14609
502	14754	14578
503	14783	14549
504	14814	14521
505	14841	14489
506	14869	14459
507	14898	14429
508	14925	14397
509	14955	14369
510	14983	14338
511	15011	14307
512	15040	14277
513	15069	14248
514	15099	14219
515	15128	14190
516	15156	14159
517	15186	14131
518	15214	14100
519	15244	14071
520	15274	14043
521	15301	14012
522	15331	13982
523	15360	13953
524	15388	13923
525	15419	13895
526	15449	13866
527	15479	13837
528	15510	13809
529	15545	13785
530	15579	13760
531	15608	13730
532	15640	13703
533	15668	13673
534	15697	13643
535	15725	13613
536	15755	13584
537	15786	13556
538	15815	13527
539	15843	13496
540	15874	13468
541	15904	13439
542	15933	13410
543	15965	13382
544	15995	13354
545	16024	13324
546	16055	13296
547	16089	13270
548	16118	13241
549	16148	13212
550	16177	13182
551	16210	13155
552	16240	13127
553	16270	13098
554	16299	13068
555	16326	13037
556	16356	13008
557	16386	12979
558	16415	12950
559	16443	12919
560	16471	12889
561	16501	12860
562	16539	12837
563	16569	12809
564	16600	12781
565	16629	12751
566	16657	12721
567	16687	12692
568	16717	12663
569	16747	12634
570	16776	12604
571	16807	12576
572	16837	12547
573	16866	12517
574	16895	12487
575	16924	12458
576	16952	12428
577	16980	12397
578	17008	12367
579	17037	12337
580	17067	12308
581	17095	12278
582	17125	12249
583	17156	12220
584	17184	12190
585	17213	12161
586	17241	12130
587	17271	12101
588	17298	12070
589	17326	12040
590	17355	12010
591	17383	11980
592	17411	11950
593	17438	11919
594	17464	11887
595	17492	11857
596	17527	11831
597	17560	11804
598	17589	11775
599	17620	11747
600	17651	11718
601	17680	11689
602	17709	11659
603	17741	11631
604	17770	11602
605	17800	11573
606	17831	11544
607	17865	11518
608	17897	11491
609	17929	11462
610	17960	11434
611	17988	11404
612	18017	11374
613	18045	11344
614	18077	11316
615	18109	11289
616	18141	11261
617	18172	11232
618	18202	11203
619	18232	11174
620	18264	11146
621	18293	11117
622	18321	11087
623	18350	11057
624	18380	11028
625	18410	10999
626	18443	10971
627	18475	10943
628	18509	10917
629	18546	10892
630	18578	10864
631	18609	10835
632	18640	10807
633	18668	10777
634	18697	10747
635	18728	10718
636	18756	10688
637	18784	10658
638	18814	10628
639	18844	10600
640	18876	10571
641	18907	10543
642	18938	10514
643	18968	10485
644	18998	10456
645	19026	10426
646	19053	10395
647	19082	10365
648	19111	10336
649	19139	10306
650	19168	10275
651	19195	10245
652	19223	10215
653	19252	10185
654	19279	10155
655	19307	10124
656	19340	10097
657	19371	10068
658	19401	10039
659	19432	10010
660	19462	9981
661	19495	9953
662	19526	9925
663	19557	9896
664	19587	9867
665	19616	9837
666	19645	9808
667	19675	9778
668	19704	9749
669	19733	9719
670	19762	9689
671	19790	9659
672	19819	9629
673	19857	9604
674	19888	9575
675	19916	9545
676	19946	9516
677	19977	9487
678	20008	9459
679	20035	9428
680	20064	9398
681	20096	9370
682	20127	9341
683	20155	9311
684	20185	9282
685	20212	9251
686	20240	9221
687	20267	9191
688	20294	9160
689	20323	9130
690	20352	9101
691	20381	9071
692	20409	9041
693	20437	9011
694	20466	8981
695	20499	8953
696	20533	8926
697	20562	8896
698	20593	8867
699	20624	8838
700	20656	8810
701	20688	8782
702	20719	8753
703	20750	8724
704	20784	8697
705	20816	8668
706	20846	8639
707	20877	8610
708	20907	8581
709	20936	8551
710	20964	8521
711	20993	8491
712	21021	8461
713	21051	8432
714	21079	8402
715	21106	8371
716	21135	8342
717	21165	8312
718	21193	8282
719	21222	8253
720	21251	8223
721	21280	8193
722	21311	8165
723	21340	8135
724	21370	8106
725	21403	8077
726	21434	8048
727	21466	8020
728	21503	7993
729	21534	7964
730	21564	7935
731	21594	7906
732	21628	7878
733	21662	7850
734	21694	7821
735	21725	7792
736	21756	7763
737	21785	7734
738	21815	7704
739	21847	7676
740	21876	7646
741	21904	7616
742	21932	7586
743	21961	7556
744	21987	7525
745	22016	7496
746	22044	7466
747	22077	7437
748	22105	7407
749	22134	7378
750	22164	7348
751	22193	7319
752	22222	7289
753	22249	7259
754	22277	7229
755	22307	7199
756	22336	7170
757	22366	7140
758	22395	7111
759	22425	7081
760	22454	7051
761	22489	7024
762	22522	6995
763	22551	6966
764	22581	6936
765	22610	6907
766	22638	6877
767	22667	6847
768	22697	6818
769	22723	6787
770	22752	6757
771	22781	6728
772	22811	6698
773	22839	6669
774	22868	6639
775	22898	6609
776	22926	6580
777	22955	6550
778	22982	6520
779	23011	6490
780	23042	6461
781	23070	6431
782	23101	6402
783	23130	6372
784	23157	6342
785	23186	6312
786	23218	6284
787	23247	6254
788	23277	6225
789	23305	6195
790	23333	6165
791	23362	6135
792	23390	6105
793	23418	6075
794	23447	6046
795	23483	6018
796	23517	5990
797	23545	5960
798	23572	5930
799	23600	5900
800	23629	5870
801	23660	5841
802	23691	5812
803	23719	5782
804	23747	5752
805	23778	5723
806	23811	5694
807	23842	5665
808	23870	5635
809	23899	5606
810	23928	5576
811	23957	5546
812	23985	5517
813	24013	5487
814	24041	5457
815	24072	5428
816	24099	5398
817	24127	5368
818	24155	5338
819	24184	5308
820	24215	5279
821	24246	5250
822	24276	5221
823	24308	5192
824	24337	5162
825	24363	5132
826	24391	5102
827	24418	5072
828	24450	5043
829	24485	5015
830	24516	4985
831	24546	4956
832	24575	4926
833	24602	4896
834	24631	4867
835	24659	4837
836	24688	4807
837	24720	4778
838	24748	4749
839	24777	4719
840	24806	4690
841	24834	4660
842	24865	4630
843	24894	4601
844	24923	4571
845	24950	4541
846	24979	4512
847	25008	4482
848	25036	4452
849	25063	4422
850	25091	4393
851	25119	4363
852	25147	4333
853	25174	4303
854	25205	4274
855	25233	4244
856	25262	4215
857	25290	4185
858	25318	4155
859	25345	4126
860	25374	4096
861	25403	4066
862	25430	4037
863	25464	4008
864	25497	3979
865	25525	3949
866	25553	3920
867	25583	3890
868	25611	3860
869	25640	3831
870	25668	3801
871	25698	3772
872	25730	3743
873	25760	3713
874	25790	3684
875	25817	3654
876	25845	3624
877	25874	3595
878	25903	3565
879	25931	3536
880	25962	3506
881	25991	3477
882	26019	3447
883	26047	3418
884	26075	3388
885	26103	3358
886	26131	3329
887	26160	3299
888	26190	3270
889	26219	3240
890	26246	3210
891	26275	3181
892	26303	3151
893	26332	3122
894	26360	3092
895	26388	3062
896	26417	3033
897	26452	3004
898	26484	2975
899	26514	2946
900	26542	2916
901	26572	2887
902	26601	2857
903	26628	2827
904	26656	2798
905	26684	2768
906	26712	2738
907	26740	2709
908	26768	2679
909	26796	2650
910	26823	2620
911	26850	2590
912	26878	2561
913	26907	2531
914	26936	2502
915	26967	2472
916	26996	2443
917	27026	2414
918	27055	2384
919	27087	2355
920	27114	2325
921	27144	2296
922	27172	2266
923	27203	2237
924	27234	2208
925	27265	2178
926	27295	2149
927	27326	2120
928	27355	2090
929	27384	2061
930	27415	2031
931	27448	2002
932	27484	1973
933	27514	1944
934	27546	1915
935	27575	1885
936	27604	1855
937	27635	1826
938	27670	1797
939	27699	1768
940	27728	1738
941	27756	1709
942	27793	1679
943	27827	1650
944	27860	1621
945	27889	1592
946	27922	1562
947	27951	1533
948	27981	1503
949	28012	1474
950	28042	1444
951	28071	1415
952	28104	1386
953	28138	1356
954	28169	1327
955	28201	1297
